country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,Pennsylvania,Philadelphia,2018-10-02T10:00:00Z,pm25,8.9,µg/m,39.991389,-75.080833,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Philadelphia Air Management Services""}]"
US,Pennsylvania,Philadelphia,2019-09-29T21:00:00Z,pm25,6.9,µg/m,39.991389,-75.080833,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Philadelphia Air Management Services""}]"
US,Pennsylvania,Philadelphia,2020-09-29T16:00:00Z,pm25,11.8,µg/m,39.991389,-75.080833,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Philadelphia Air Management Services""}]"
US,Rhode Island,Providence,2018-10-02T23:00:00Z,pm25,6,µg/m,41.840302,-71.361702,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Rhode Island Dept. of Environmental Management""}]"
US,Rhode Island,Providence,2019-10-02T10:00:00Z,pm25,11,µg/m,41.840302,-71.361702,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Rhode Island Dept. of Environmental Management""}]"
US,Rhode Island,Providence,2020-10-02T04:00:00Z,pm25,6,µg/m,41.840302,-71.361702,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Rhode Island Dept. of Environmental Management""}]"
US,South Carolina,Charleston,2018-10-03T17:00:00Z,pm25,6.6,µg/m,32.941002,-79.656998,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Carolina DHEC""}]"
US,South Carolina,Charleston,2019-10-03T00:00:00Z,pm25,8.1,µg/m,32.941002,-79.656998,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Carolina DHEC""}]"
US,South Carolina,Charleston,2020-10-02T03:00:00Z,pm25,3.9,µg/m,32.941002,-79.656998,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Carolina DHEC""}]"
US,South Dakota,Rapid City,2018-10-02T18:00:00Z,pm25,5.7,µg/m,44.087397,-103.273777,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Dakota Department of Environment and Natural Resources""}]"
US,South Dakota,Rapid City,2019-10-02T04:00:00Z,pm25,6.3,µg/m,44.087397,-103.273777,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Dakota Department of Environment and Natural Resources""}]"
US,South Dakota,Rapid City,2020-10-02T03:00:00Z,pm25,5.6,µg/m,44.087397,-103.273777,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Dakota Department of Environment and Natural Resources""}]"
US,Tennessee,Nashville,2018-10-02T09:00:00Z,pm25,9.9,µg/m,40.924606,-75.067825,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,Tennessee,Nashville,2019-10-02T11:00:00Z,pm25,13.2,µg/m,40.924606,-75.067825,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,Tennessee,Nashville,2020-10-02T03:00:00Z,pm25,3.7,µg/m,40.924606,-75.067825,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
US,Texas,Dallas,2018-10-02T16:00:00Z,pm25,7.8,µg/m,32.565,-96.3175,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Texas Commission on Environmental Quality""}]"
US,Texas,Dallas,2019-10-02T13:00:00Z,pm25,14.4,µg/m,32.565,-96.3175,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Texas Commission on Environmental Quality""}]"
US,Texas,Dallas,2020-10-02T04:00:00Z,pm25,5.1,µg/m,32.565,-96.3175,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Texas Commission on Environmental Quality""}]"
US,Utah,Salt Lake City,2018-10-02T14:00:00Z,pm25,5.2,µg/m,40.733501,-111.871696,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Utah Department of Environmental Quality""}]"
US,Utah,Salt Lake City,2019-10-02T23:00:00Z,pm25,2.2,µg/m,40.733501,-111.871696,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Utah Department of Environmental Quality""}]"
US,Utah,Salt Lake City,2020-10-01T18:00:00Z,pm25,5.3,µg/m,40.733501,-111.871696,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Utah Department of Environmental Quality""}]"
US,Vermont,Burlington,2018-10-02T05:00:00Z,pm25,6.5,µg/m,44.476101,-73.210297,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Vermont Air Quality & Climate Division""}]"
US,Vermont,Burlington,2019-10-02T02:00:00Z,pm25,8.5,µg/m,44.476101,-73.210297,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Vermont Air Quality & Climate Division""}]"
US,Vermont,Burlington,2020-10-02T04:00:00Z,pm25,4.7,µg/m,44.476101,-73.210297,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Vermont Air Quality & Climate Division""}]"
US,Virginia,Richmond,2018-10-02T08:00:00Z,pm25,10.8,µg/m,37.55652,-77.40027,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Virginia Dept. of Environmental Quality""}]"
US,Virginia,Richmond,2019-10-02T08:00:00Z,pm25,12.7,µg/m,37.55652,-77.40027,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Virginia Dept. of Environmental Quality""}]"
US,Virginia,Richmond,2020-10-02T00:00:00Z,pm25,7.4,µg/m,37.55652,-77.40027,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Virginia Dept. of Environmental Quality""}]"
